OrderID,Date,Time,OrderType,Items,ItemCount,Subtotal,SurchargeType,SurchargeAmt,BillingStrategy,DiscountAmt,AmtAfterDiscount,GSTAmt,GrandTotal
1001,27-04-2026,14:17,Dine-In (Table #1),Crispy Spring Rolls | Spicy Chicken Wings | Paneer Tikka,3,310,Service Charge (10%),31,Normal Billing,0,341,17.05,358.05
1002,27-04-2026,14:17,Takeaway,Veg Soup | Butter Chicken | Paneer Butter Masala,3,530,Packaging Fee,30,Discount Billing (15% off),84,476,23.8,499.8
1003,27-04-2026,14:17,Delivery Chennai,Paneer Tikka | Veg Fried Rice | Spaghetti Bolognese | Grilled Fish,4,910,Delivery Fee (50.0 km Rs.10),500,Happy Hour Billing,282,1128,0,1128
1001,27-04-2026,14:19,Delivery Trichy,Paneer Tikka | Veg Fried Rice | Fresh Lime Soda,3,345,Delivery Fee (354.0 km Rs.10),3540,Discount Billing (15% off),582.75,3302.25,165.11,3467.36
1002,27-04-2026,14:19,Takeaway,Cold Coffee | Veg Fried Rice | Butter Chicken | Grilled Fish,4,830,Packaging Fee,30,Normal Billing,0,860,43,903
1006,27-04-2026,14:19,Dine-In (Table #12),Crispy Spring Rolls | Spicy Chicken Wings | Butter Chicken | Paneer Butter Masala | Grilled Fish,5,990,Service Charge (10%),99,Happy Hour Billing,217.8,871.2,43.56,914.76
1007,27-04-2026,14:20,Takeaway,Veg Soup | Butter Chicken | Fresh Lime Soda,3,365,Packaging Fee,30,Happy Hour Billing,79,316,15.8,331.8
1008,27-04-2026,14:20,Delivery Chennai,Butter Chicken | Paneer Butter Masala | Veg Fried Rice | Cold Coffee,4,730,Delivery Fee (34.0 km Rs.10),340,Discount Billing (15% off),160.5,909.5,0,909.5
1001,27-04-2026,14:50,Dine-In (Table #3),Butter Chicken | Paneer Butter Masala | Veg Soup,3,530,Service Charge (10%),53,Normal Billing,0,583,29.15,612.15
1002,27-04-2026,14:50,Takeaway,Paneer Tikka | Cold Coffee | Paneer Tikka | Fresh Lime Soda | Veg Soup,5,415,Packaging Fee,30,Happy Hour Billing,89,356,17.8,373.8
1003,27-04-2026,14:51,Delivery Canada,Spicy Chicken Wings | Butter Chicken | Veg Fried Rice | Butter Chicken | Fresh Lime Soda,5,855,Delivery Fee (20.0 km Rs.10),200,Discount Billing (15% off),158.25,896.75,0,896.75
1004,27-04-2026,14:51,Takeaway,Spicy Chicken Wings | Cold Coffee | Crispy Spring Rolls | Paneer Tikka | Fresh Lime Soda | Veg Soup | Butter Chicken,7,755,Packaging Fee,30,Discount Billing (15% off),117.75,667.25,0,667.25
1005,27-04-2026,14:51,Delivery Australia,Fresh Lime Soda | Paneer Tikka | Veg Soup | Butter Chicken | Veg Fried Rice | Grilled Fish,6,975,Delivery Fee (234.0 km Rs.10),2340,Happy Hour Billing,663,2652,132.6,2784.6
1001,27-04-2026,21:26,Dine-In (Table #1),Crispy Spring Rolls | Spicy Chicken Wings | Paneer Tikka,3,310,Service Charge (10%),31,Normal Billing,0,341,17.05,358.05
1002,27-04-2026,21:27,Takeaway,Veg Soup | Butter Chicken | Paneer Butter Masala,3,530,Packaging Fee,30,Discount Billing (15% off),84,476,23.8,499.8
1003,27-04-2026,21:29,Delivery Chennai,Spaghetti Bolognese | Grilled Fish,2,620,Delivery Fee (50.0 km Rs.10),500,Happy Hour Billing,224,896,44.8,940.8
